-1.95109,0.0337545,0.986016,1.77863,1.45
-1.95156,0.0338767,0.986953,1.66846,1.5
-1.93484,0.0388171,0.981953,1.55603,1.55
-1.93594,0.0381759,0.981406,1.46371,1.6
-1.92188,0.0419996,0.977266,1.37162,1.65
-1.90656,0.0458279,0.972734,1.28689,1.7
-1.87016,0.0531081,0.960156,1.19677,1.75
-1.86453,0.0543649,0.959453,1.13104,1.8
-1.83563,0.0590627,0.948125,1.05763,1.85
-1.81812,0.0617112,0.943047,0.995737,1.9
-1.78016,0.0664993,0.923281,0.927698,1.95
-1.76313,0.0689021,0.92125,0.876364,2
-1.70406,0.0749843,0.892344,0.80825,2.05
-1.65016,0.0793893,0.860859,0.74631,2.1
-1.63125,0.0809393,0.847109,0.704849,2.15
-1.54313,0.0880172,0.799141,0.641776,2.2
-1.51438,0.0893088,0.771953,0.601475,2.25
-1.405,0.0941719,0.676484,0.533628,2.3
-1.35281,0.0954213,0.608437,0.490159,2.35
-1.26016,0.0978387,0.489141,0.437008,2.4
-1.18094,0.0991643,0.442812,0.392225,2.45
-1.14484,0.100415,0.413984,0.367621,2.5
-1.06969,0.101496,0.350547,0.331627,2.55
-1.04313,0.101424,0.252422,0.310704,2.6
-0.983906,0.101638,0.256563,0.282946,2.65
-0.986875,0.101299,0.248984,0.272492,2.7
-0.929063,0.102468,0.223516,0.251435,2.75
-0.913438,0.102801,0.241875,0.239838,2.8
-0.889687,0.102448,0.197031,0.225446,2.85
-0.843594,0.103674,0.184453,0.211397,2.9
-0.831406,0.102405,0.160156,0.199002,2.95
-0.825625,0.102997,0.194531,0.192752,3
-0.794063,0.103411,0.180312,0.181991,3.05
-0.750469,0.103293,0.150391,0.169009,3.1
-0.745781,0.103892,0.162969,0.164254,3.15
-0.726406,0.103054,0.144766,0.154726,3.2
-0.702812,0.103106,0.137031,0.14696,3.25
-0.699688,0.103511,0.148125,0.142922,3.3
-0.695625,0.103848,0.139687,0.13882,3.35
-0.670937,0.103829,0.136563,0.131851,3.4
-0.650937,0.104097,0.135781,0.126333,3.45
-0.624844,0.103049,0.119453,0.118292,3.5
-0.623125,0.104709,0.145,0.117557,3.55
-0.612656,0.103711,0.112187,0.111723,3.6
-0.595313,0.103504,0.101875,0.106809,3.65
-0.592031,0.103933,0.116016,0.104314,3.7
-0.573906,0.103513,0.105703,0.0994442,3.75
-0.575,0.103863,0.119453,0.0974388,3.8
-0.555937,0.104395,0.102578,0.0942313,3.85
-0.55125,0.103155,0.0971094,0.0898034,3.9
-0.520156,0.103383,0.0871094,0.085729,3.95
-0.534687,0.102985,0.096875,0.0840396,4
-0.533125,0.104313,0.111797,0.0835569,4.05
-0.493281,0.10317,0.104766,0.0777054,4.1
-0.513437,0.104128,0.0929688,0.0781707,4.15
-0.484531,0.104088,0.0988281,0.074649,4.2
-0.48125,0.103386,0.0915625,0.0719244,4.25
-0.454844,0.103138,0.0907812,0.0686558,4.3
-0.466719,0.10321,0.0960938,0.0677417,4.35
-0.456875,0.102638,0.0814844,0.0651376,4.4
-0.466719,0.104372,0.0867969,0.0659523,4.45
-0.465469,0.102488,0.0979687,0.062514,4.5
-2,3.19374,1,1277.5,0.05
-2,3.19374,1,319.374,0.1
-2,3.19374,1,141.944,0.15
-2,3.19374,1,79.8436,0.2
-2,3.19374,1,51.0999,0.25
-2,3.19374,1,35.486,0.3
-2,3.19374,1,26.0714,0.35
-2,3.19374,1,19.9609,0.4
-2,3.19374,1,15.7716,0.45
-2,3.19374,1,12.775,0.5
-2,3.19374,1,10.5578,0.55
-2,3.19374,1,8.87151,0.6
-1.99969,3.19325,0.999922,7.55799,0.65
-1.99969,3.19325,0.999922,6.51683,0.7
-2,3.19374,1,5.67777,0.75
-1.99969,3.19325,0.999922,4.98945,0.8
-1.99937,3.19275,0.999844,4.41904,0.85
-1.99906,3.19226,0.999766,3.94106,0.9
-1.99781,3.19028,0.999453,3.53493,0.95
-1.99562,3.18681,0.998906,3.18681,1
-1.99594,3.1873,0.998984,2.89098,1.05
-1.99375,3.18384,0.998359,2.63127,1.1
-1.99359,3.1836,0.998359,2.40726,1.15
-1.98875,3.1759,0.997109,2.20549,1.2
-1.98594,3.17155,0.996328,2.02979,1.25
-1.98094,3.16361,0.994687,1.87196,1.3
-1.97875,3.16006,0.994375,1.73392,1.35
-1.97078,3.14748,0.991953,1.60586,1.4
-1.95109,3.11627,0.986016,1.48217,1.45
-1.95156,3.11688,0.986953,1.38528,1.5
-1.93484,3.09081,0.981953,1.2865,1.55
-1.93594,3.09233,0.981406,1.20794,1.6
-1.92188,3.07018,0.977266,1.12771,1.65
-1.90656,3.04594,0.972734,1.05396,1.7
-1.87016,2.9891,0.960156,0.976034,1.75
-1.86453,2.97973,0.959453,0.91967,1.8
-1.83563,2.93401,0.948125,0.857272,1.85
-1.81812,2.90696,0.943047,0.805253,1.9
-1.78016,2.84713,0.923281,0.748752,1.95
-1.76313,2.81891,0.92125,0.704728,2
-1.70406,2.7276,0.892344,0.649043,2.05
-1.65016,2.6417,0.860859,0.599025,2.1
-1.63125,2.61313,0.847109,0.565307,2.15
-1.54313,2.47782,0.799141,0.511947,2.2
-1.51438,2.43615,0.771953,0.481215,2.25
-1.405,2.26316,0.676484,0.427819,2.3
-1.35281,2.17934,0.608437,0.394629,2.35
-1.26016,2.03058,0.489141,0.352531,2.4
-1.18094,1.90221,0.442812,0.316903,2.45
-1.14484,1.84494,0.413984,0.29519,2.5
-1.06969,1.72621,0.350547,0.265469,2.55
-1.04313,1.68336,0.252422,0.249017,2.6
-0.983906,1.58952,0.256563,0.226346,2.65
-0.986875,1.5907,0.248984,0.218202,2.7
-0.929063,1.49901,0.223516,0.198216,2.75
-0.913438,1.47223,0.241875,0.187784,2.8
-0.889687,1.43239,0.197031,0.176349,2.85
-0.843594,1.36115,0.184453,0.161849,2.9
-0.831406,1.34135,0.160156,0.154134,2.95
-0.825625,1.33236,0.194531,0.14804,3
-0.794063,1.28404,0.180312,0.138032,3.05
-0.750469,1.21059,0.150391,0.125972,3.1
-0.745781,1.20444,0.162969,0.121384,3.15
