RNG,SamplesPower,Energy,EnergyDev,Magnetization,Heat,HeatDev,Temperature
mt,6,-1.45257,0.0233619,0.712776,1.49477,0.00399264,2.26918
rnlx0,6,-1.4518,0.0233504,0.712293,1.50155,0.00391555,2.26918
r250,6,-1.45422,0.0233843,0.71491,1.46168,0.00365159,2.26918
