RNG,Energy,EnergyDev,Magnetization,Heat,Temperature
mt,-1.46281,0.843305,0.724844,0.163774,2.26918
rnlx0,-1.43422,0.865829,0.704688,0.168148,2.26918
r250,-1.42312,0.859637,0.679531,0.166946,2.26918
