RNG,Energy,EnergyDev,Magnetization,Heat,HeatDev,Temperature
mt,-1.46281,0.0918316,0.724844,-106.96,3886.96,2.26918
rnlx0,-1.43422,0.0930499,0.704688,-103.223,3754.53,2.26918
r250,-1.42312,0.0927166,0.679531,-101.756,3703.03,2.26918
