RNG,Energy,EnergyDev,Magnetization,Heat,Temperature
mt,-1.45233,0.00291022,0.712079,0.16448,2.26918
rnlx0,-1.45235,0.00291021,0.712216,0.164478,2.26918
r250,-1.45334,0.00290943,0.714127,0.16439,2.26918
