RNG,Energy,EnergyDev,Magnetization,Heat,HeatDev,Temperature
mt,-1.45233,0.0738648,0.712079,1.50341,1.41313,2.26918
rnlx0,-1.45235,0.0738684,0.712216,1.51091,1.42016,2.26918
r250,-1.45334,0.0739043,0.714127,1.47084,1.37793,2.26918
